"","name","committer_count"
"1","Duane F. King",597940
"2","Gerrit Code Review",597187
"3","devs-mycroft",524440
"4","Marge Spiderworthy",495786
"5","Commit Bot",421632
"6","Curt Clifton",384915
"7","James Michael DuPont",343198
"8","CI Pool Resource",316075
"9","root",313445
"10","unknown",307665
"11","time",286934
"12","miatribepi",279802
"13","Matthew Weier O'Phinney",266850
"14","Chromium LUCI CQ",242369
"15","Commit bot",224701
"16","Greg Kroah-Hartman",211434
"17","conda-forge-coordinator",204132
"18","Android Git Automerger",193969
"19","test",189157
"20","Emile B",187684
"21","Gerrit - the friendly Code Review server",187111
"22","keum",186686
"23","Ionică Bizău",183860
"24","craigwmcclellan",181881
"25","Linus Torvalds",171236
"26","chous",167513
"27","Bactrian the Two-Humped Bot",165324
"28","BrewTestBot",158735
"29","Ryan Niehaus",158359
